,feature,train_avg,test_avg
0,138,1,0.710784314
1,137,1,0.708333333
2,136,1,0.710784314
3,135,1,0.708333333
4,134,1,0.723039216
5,133,1,0.703431373
6,132,1,0.730392157
7,131,1,0.703431373
8,130,1,0.723039216
9,129,1,0.725490196
10,128,1,0.718137255
11,127,1,0.705882353
12,126,1,0.718137255
13,125,1,0.708333333
14,124,1,0.720588235
15,123,1,0.727941176
16,122,1,0.705882353
17,121,1,0.708333333
18,120,1,0.710784314
19,119,1,0.723039216
20,118,1,0.720588235
21,117,1,0.715686275
22,116,1,0.708333333
23,115,1,0.723039216
24,114,1,0.718137255
25,113,1,0.715686275
26,112,1,0.708333333
27,111,1,0.705882353
28,110,1,0.708333333
29,109,1,0.710784314
30,108,1,0.723039216
31,107,1,0.718137255
32,106,1,0.710784314
33,105,1,0.705882353
34,104,1,0.705882353
35,103,1,0.710784314
36,102,1,0.698529412
37,101,1,0.708333333
38,100,1,0.703431373
39,99,1,0.696078431
40,98,1,0.703431373
41,97,1,0.703431373
42,96,1,0.713235294
43,95,1,0.713235294
44,94,1,0.725490196
45,93,1,0.708333333
46,92,1,0.713235294
47,91,1,0.708333333
48,90,1,0.723039216
49,89,1,0.723039216
50,88,1,0.715686275
51,87,1,0.718137255
52,86,1,0.713235294
53,85,1,0.723039216
54,84,1,0.710784314
55,83,1,0.710784314
56,82,1,0.710784314
57,81,1,0.710784314
58,80,1,0.715686275
59,79,1,0.705882353
60,78,1,0.713235294
61,77,1,0.710784314
62,76,1,0.713235294
63,75,1,0.710784314
64,74,1,0.715686275
65,73,1,0.715686275
66,72,1,0.720588235
67,71,1,0.718137255
68,70,1,0.718137255
69,69,1,0.708333333
70,68,1,0.713235294
71,67,1,0.703431373
72,66,1,0.708333333
73,65,1,0.710784314
74,64,1,0.708333333
75,63,1,0.715686275
76,62,1,0.720588235
77,61,1,0.708333333
78,60,1,0.715686275
79,59,1,0.715686275
80,58,1,0.713235294
81,57,1,0.710784314
82,56,1,0.718137255
83,55,1,0.715686275
84,54,1,0.710784314
85,53,1,0.715686275
86,52,1,0.718137255
87,51,1,0.710784314
88,50,1,0.713235294
89,49,1,0.708333333
90,48,1,0.700980392
91,47,1,0.715686275
92,46,1,0.727941176
93,45,1,0.725490196
94,44,1,0.723039216
95,43,1,0.727941176
96,42,1,0.720588235
97,41,1,0.730392157
98,40,1,0.725490196
99,39,1,0.715686275
100,38,1,0.727941176
101,37,1,0.723039216
102,36,1,0.737745098
103,35,1,0.723039216
104,34,1,0.730392157
105,33,1,0.723039216
106,32,1,0.727941176
107,31,1,0.723039216
108,30,1,0.723039216
109,29,1,0.730392157
110,28,1,0.713235294
111,27,1,0.720588235
112,26,1,0.737745098
113,25,1,0.735294118
114,24,1,0.725490196
115,23,1,0.727941176
116,22,1,0.718137255
117,21,1,0.718137255
118,20,1,0.730392157
119,19,1,0.745098039
120,18,1,0.745098039
121,17,1,0.735294118
122,16,1,0.730392157
123,15,1,0.730392157
124,14,1,0.725490196
125,13,1,0.727941176
126,12,1,0.720588235
127,11,1,0.730392157
128,10,1,0.737745098
129,9,1,0.710784314
130,8,1,0.691176471
131,7,1,0.705882353
132,6,1,0.700980392
133,5,1,0.698529412
134,4,1,0.691176471
135,3,1,0.659313725
